D2C1EDFC-9084-3FF2-B737-565E67FA59C9
1) 79419598D0733AA9BC988F218BB762, 50p, 30j (13-11-6), 19s (65-46)
2) 557717F259173D65AD5E1EAC75AD52, 87p, 54j (25-12-17), 17s (122-105)
3) 6F8F2BA4CA5836F4959B3565E471EC, 86p, 46j (26-8-12), 30s (106-76)
4) C4E6809A28CE372BBB518BA54E1BC2, 85p, 59j (23-16-20), 13s (126-113)
5) AB80D181C8A83C349EEA2EFE2F8E7D, 82p, 54j (23-13-18), 8s (121-113)
6) 2551B6A3BAE73524827438BC182DEF, 80p, 55j (22-14-19), 11s (100-89)
7) C1ECD43903BF3037ABC67623BE4BE7, 79p, 52j (22-13-17), 10s (100-90)
8) 5755E7519BA73DD184CB3B448756E1, 79p, 57j (21-16-20), 5s (114-109)
9) DFF13ACE86A63398817C73F2DEB2F5, 78p, 58j (23-9-26), -12s (95-107)
10) 9C83D19268463E6AA079AA49C25AE5, 76p, 40j (23-7-10), 25s (94-69)
11) BFB246F318F937529E5892393422F1, 72p, 52j (21-9-22), 12s (104-92)
12) 32EE7693B13C3849A5BD4C2286051B, 71p, 51j (20-11-20), 11s (106-95)
13) B55880A6142633149D9D94474FF5F4, 70p, 49j (20-10-19), 11s (102-91)
14) AD2F303BD5D73D18A1A9FADE39D8D5, 69p, 64j (16-21-27), -32s (113-145)
15) 66FA2C75C05E386CACF9F1957C8BBE, 62p, 43j (16-14-13), 9s (85-76)
16) 1290F6D9AC7F318A9CC7A6CE0BA3DB, 60p, 54j (17-9-28), -26s (86-112)
17) BCE97D02C291330FAF6F0B17805BF1, 56p, 42j (15-11-16), -13s (81-94)
18) 4D7708FA73C23329BE3FA68A554248, 53p, 45j (15-8-22), -22s (91-113)
19) 5572F8CB6AEF36C3AB317965070816, 51p, 34j (14-9-11), 1s (60-59)
20) 0A744C70A0063CA8BA09134E2EA7B7, 50p, 44j (13-11-20), -17s (82-99)
21) 6358988AF5E1315BB325728AEB6320, 49p, 36j (14-7-15), 0s (64-64)
22) 67C735AB63D23CF0A54B39E52A136E, 49p, 42j (14-7-21), -10s (86-96)
23) 685C3139F1F33EAF9966E16F972CB7, 49p, 52j (13-10-29), -32s (77-109)
24) E79BA3A5B4703C5598E5D5493AA4FA, 29p, 30j (7-8-15), -22s (51-73)

098C15F5-B3FE-3324-ABFB-DDCE1B445312
1) 94CE912356163880B2F24A3D980028, 524p, 367j (154-62-151), 1s (749-748)
2) B7B6F22886B439EFA843D4F2A4BA69, 522p, 368j (148-78-142), 14s (755-741)
3) DEB8C0D9C8E23FF28FB36BBE0262B9, 510p, 377j (142-84-151), -15s (758-773)

7DF1C82C-F395-3699-87B2-436FF5E8DAEA
1) 23F02C7A98963496A82358CAE04D45, 185p, 118j (54-23-41), 15s (237-222)
2) 9660A01B65323573A4FF04014750CB, 174p, 114j (46-36-32), 35s (260-225)
3) B6CB417DBF3F3F37841CFD4E1F6827, 171p, 103j (49-24-30), 41s (221-180)
4) BFE4AAC031DC393B9D94E183E15870, 161p, 102j (45-26-31), 37s (218-181)
5) AA738AC0459030A99140E485D20C2E, 153p, 107j (46-15-46), 4s (216-212)
6) 3B62515BFC1236438591164419CDE5, 153p, 96j (44-21-31), 24s (196-172)
7) D0D00A30444135099B1541B27FB573, 152p, 106j (45-17-44), -3s (201-204)
8) 0282EE09488D37169F848E5E2103E1, 152p, 114j (43-23-48), -6s (209-215)
9) D10DD044C9D73E2288797D3397F92C, 144p, 99j (42-18-39), 5s (185-180)
10) B9146959DCE239A48B89AC3C2A1E21, 138p, 94j (39-21-34), 23s (188-165)
11) A6B3FE2ED41F3F45934A7189309E73, 132p, 97j (38-18-41), -9s (186-195)
12) D4DA9255A45E3550A018996865DEA2, 132p, 104j (38-18-48), -18s (210-228)
13) 114BD85870CF3277A78201C8CC960F, 130p, 100j (35-25-40), -19s (171-190)
14) 972AC4D965713AD2BD1905149CD984, 127p, 102j (36-19-47), -23s (186-209)
15) 3269739A147933728CE514939996D1, 127p, 115j (36-19-60), -47s (205-252)
16) A064D701197739769E1E059750297D, 127p, 97j (35-22-40), 2s (200-198)
17) 24A2FB69520139A1A06A70F9A58C5E, 123p, 105j (32-27-46), -39s (177-216)
18) 14279A9E1E80305397538CCEBD294A, 121p, 91j (35-16-40), -22s (179-201)

94A350E6-2AA9-35E6-BA9F-6F7FC9B080F8
1) 838B1DDC684C33BFB100D86EDB0958, 53p, 25j (17-2-6), 22s (60-38)
2) DC26741950373A34AD7D7BE33BD895, 51p, 31j (14-9-8), 16s (64-48)
3) 2A68E5C2DF0F3EE3A9672652E5C694, 39p, 28j (11-6-11), -6s (52-58)
4) B0FB6626F0F63158B9CDDFCCBFF508, 37p, 29j (11-4-14), -6s (57-63)
5) CACCF653614A3367867137AFE7CCFE, 36p, 24j (11-3-10), 2s (49-47)
6) 97A9E765BEAD3431B1C5A7D3600ACB, 34p, 24j (10-4-10), -2s (47-49)
7) 93D9E9F11E73333F8FCF1CC49ECB3E, 33p, 22j (9-6-7), 5s (46-41)
8) 8008706A888E3CC3AEA330508F960E, 30p, 29j (9-3-17), -12s (55-67)
9) 6F20789DC9863DD3B0894088C74D3E, 26p, 20j (7-5-8), -5s (32-37)
10) 3D4E7F08651C3314AA58328193F8FF, 25p, 20j (6-7-7), -1s (46-47)
11) A54EDFD44C933485AC6B5704898ECA, 25p, 22j (6-7-9), -3s (43-46)
12) 047674D88AD032B5A73789A1A02B54, 23p, 15j (5-8-2), 5s (35-30)
13) D636140A76D53122894AF33CF3E96C, 22p, 18j (6-4-8), -2s (39-41)
14) 44382DE857DB35669BA206634DA728, 20p, 17j (5-5-7), -4s (27-31)
15) 7A89D0B8C58D36A1AE722740D0A6BF, 20p, 18j (5-5-8), -9s (35-44)

34998C2C-1387-3266-9285-458DF34BC959
1) 3A3D793CB9153A579B2F4A918F2AD4, 285p, 193j (83-36-74), 10s (386-376)
2) 23520CD11CB23792A12B041E133A89, 284p, 188j (85-29-74), 4s (383-379)
3) 3AF00D2462A8340E9D6F53F8067EB7, 277p, 180j (78-43-59), 39s (358-319)
4) 345F07BA849D3E1798573286DDF525, 273p, 183j (78-39-66), 18s (366-348)
5) 9B5667ED7DE2358A85EDDE74F81CBC, 263p, 183j (76-35-72), 2s (349-347)
6) 1933A1B2D0863E3DB7A5C799DAE043, 262p, 193j (76-34-83), -1s (378-379)
7) EFDA52729BBA32908CCBDCB5E28D32, 245p, 188j (74-23-91), -56s (351-407)
8) C0DECA909CDE339FA779A8E5B5E2E2, 243p, 175j (69-36-70), 5s (354-349)
9) 244330D7EAE63CFDBE4F06565BFDD8, 229p, 175j (64-37-74), -7s (334-341)
10) A5667707339032CBA9572C389A022D, 217p, 169j (61-34-74), -22s (331-353)
11) 732BFC7380D13C909001A0B5999FD2, 203p, 155j (55-38-62), 8s (317-309)

99F028D1-62D3-392F-AE50-EEB8DFD8AB33
1) 4653F045C71137108C4E94D06D8EF7, 30p, 13j (10-0-3), 9s (25-16)
2) 3434A2C4581E3FDDA5D169E3D1A643, 29p, 14j (9-2-3), 11s (41-30)
3) 4F2DA458749230FE9301BBDC00EF00, 29p, 18j (9-2-7), 0s (36-36)
4) B47AFB4C0D2334A6B1494558A3A63D, 29p, 15j (8-5-2), 9s (38-29)
5) F8972D4699D13C068E1DBC062E9304, 27p, 14j (8-3-3), 19s (40-21)
6) CD1280801AE13B499FAE904A3EC3C7, 27p, 14j (8-3-3), 9s (35-26)
7) D77712E4A6743EDB92007EB901BE70, 26p, 15j (8-2-5), 8s (31-23)
8) D5E9D080F982334BB2EA18C9331859, 24p, 19j (7-3-9), -3s (36-39)
9) 79AB8F6EEDF23031A05C789E053B79, 22p, 15j (7-1-7), 3s (28-25)
10) 0FDDA59CE04D3F8993D63EBFEC8F4F, 22p, 14j (7-1-6), 1s (34-33)
11) 39B3E4ECE619357A8E3125FFB2B9B2, 21p, 13j (7-0-6), -3s (26-29)
12) 74D346187BD5324FB2994C992B6A3A, 19p, 8j (6-1-1), 14s (24-10)
13) 2F73EEF843223C509C54AFC0CA25F5, 18p, 16j (5-3-8), -6s (28-34)
14) 12930160382B3AD18D63223CB79C9F, 18p, 17j (4-6-7), -5s (29-34)
15) ED82DFE3109334848613239FD563DB, 17p, 9j (5-2-2), 8s (21-13)
16) AF0299A8D8DD32689063D657EF6B64, 17p, 13j (5-2-6), 3s (34-31)
17) D3F907CF562B3520AABF9F8EB41EE1, 16p, 15j (5-1-9), -8s (30-38)
18) EC0E6704C565384FA626F444259FE9, 16p, 13j (5-1-7), -10s (26-36)
19) F6849E316CD134C19B9E6F76D72005, 15p, 10j (4-3-3), 2s (19-17)
20) F3717B4108643A598486D357C012E7, 15p, 12j (4-3-5), -5s (20-25)
21) DECDC488FD733815AC8C08E3731471, 14p, 8j (4-2-2), 6s (23-17)
22) 1A633BADA9253C8BB1EFCD12DF48F0, 13p, 14j (4-1-9), -7s (28-35)
23) 0A8B190D3C21364AACF5941AD4E884, 12p, 9j (4-0-5), -6s (15-21)
24) 3A3DD8FEFB82340AB501199203D360, 11p, 10j (3-2-5), -3s (18-21)
25) 6D13452EC0283B80B129BFB7BB4EB8, 11p, 11j (3-2-6), -7s (20-27)
26) 58B588FFE5B43D06B18D4959625318, 10p, 14j (2-4-8), -7s (24-31)
27) 4AD013A3BD133691933FF727A2A935, 8p, 10j (2-2-6), -8s (11-19)
28) E7B9AAD6B7C03326BCB03EAA499E3F, 7p, 11j (2-1-8), -16s (19-35)
29) AF9F646200CC3469B5DBE68E241469, 7p, 9j (1-4-4), -6s (16-22)
30) 5451EE8261B43178B67D458D61F1DB, 5p, 5j (1-2-2), -2s (8-10)

D2440BD6-502F-3636-9908-88F628D34C53
1) 30964627B9283EF581E606C322AC62, 117p, 67j (35-12-20), 35s (155-120)
2) 51389A0EA93930F2BCCDC338F4B9CE, 110p, 65j (31-17-17), 26s (156-130)
3) 1423F29275B63079B90DA9303E467A, 108p, 71j (28-24-19), 25s (150-125)
4) 0DCBCC2EEE0135659C34E9E3776BE6, 106p, 75j (30-16-29), 3s (165-162)
5) C447EE2034B3395CB03E8BAB0AD263, 101p, 63j (29-14-20), 22s (151-129)
6) AD6088C489CB3AB5A5CA43991864AA, 94p, 64j (27-13-24), -9s (109-118)
7) 8636F7E291593D65B9F133ED43B1E1, 90p, 64j (25-15-24), 1s (138-137)
8) 772C978F2A21327296D046232A8B90, 90p, 68j (25-15-28), -7s (141-148)
9) EA90EF2E75413DB99724324CC73EA4, 89p, 57j (26-11-20), 11s (108-97)
10) DAB4ADFD0D7837C4A6B98D9F522579, 85p, 69j (23-16-30), -22s (129-151)
11) F65F32F2BCB03406BFC33FF89D0882, 85p, 65j (21-22-22), -8s (134-142)
12) 18D66FF1D2E630B994009619EFA6CF, 83p, 65j (25-8-32), -16s (118-134)
13) C4172A1802AD3B44A6376131C10A00, 83p, 65j (22-17-26), 11s (141-130)
14) A8200D2DF01D3D2D8517878AE5796C, 83p, 60j (22-17-21), -3s (109-112)
15) 86703A4309433510A3B996D338F37A, 81p, 57j (23-12-22), 11s (117-106)
16) 85F96F99792D3C6AA1DA141ACA6E02, 79p, 59j (20-19-20), -4s (108-112)
17) 4636E6A6730830509342B6A160E63A, 78p, 66j (20-18-28), -20s (112-132)
18) 0BFF4FDFD75737DABDDADCC657B8CB, 78p, 67j (19-21-27), -11s (125-136)
19) 0FBE3834816134B38C234792A92E46, 77p, 54j (21-14-19), -3s (112-115)
20) 9292B783EB2D3C49A2890735A993A3, 75p, 64j (21-12-31), -26s (124-150)
21) D492C986145A3B3BACAA57BC4B163F, 71p, 62j (19-14-29), -26s (106-132)
22) 7DE4E589C4D23ED2A96FC3B10AD5F0, 70p, 47j (19-13-15), 10s (100-90)
23) B806A34B29A033C7B4DA4CFFBB621E, 69p, 49j (20-9-20), 5s (104-99)
24) 9AD36F3E7CDE3B0BB0D2CCB10B674C, 69p, 58j (17-18-23), -3s (116-119)
25) FA2011B8F7BF38E4BC723BDA75CC21, 60p, 45j (17-9-19), -2s (81-83)

A2756E76-3663-30FF-8308-C2E2E16EEAC1
1) C3584EF2511730BCAC95F55282CC02, 224p, 147j (66-26-55), 41s (301-260)
2) 68BDA0F3846A365EBBFEA8F2686793, 206p, 142j (59-29-54), 17s (283-266)
3) F636FB52662F3686A2CF9EF883F4A2, 205p, 123j (61-22-40), 26s (251-225)
4) ABA27622DE27373C9C9C2F6FCF4829, 192p, 141j (53-33-55), 1s (275-274)
5) B47AB9F6436438BF8C8A923E0503B7, 190p, 132j (55-25-52), 1s (255-254)
6) 2A4D617C8A1E3764A08FBADB6DD44D, 188p, 127j (56-20-51), 22s (254-232)
7) 0A27DFE08AA736E88EAC1EAD11A7D0, 181p, 119j (53-22-44), 16s (227-211)
8) 290906A968873EE9B87D687DCAC437, 179p, 123j (53-20-50), 4s (251-247)
9) C9FD3684412D3E819EA3012BB2C206, 169p, 131j (49-22-60), -4s (270-274)
10) F8C16F5C2BDC31569548E5201C3FFE, 161p, 112j (48-17-47), -6s (214-220)
11) 4E468D04C1123EAEBF232DDF6D65A7, 161p, 130j (45-26-59), -22s (235-257)
12) A283D07C8DAE35A5864003BE180E7D, 160p, 113j (49-13-51), -3s (214-217)
13) C2E3434CDC623355A626C2F4A12406, 157p, 122j (45-22-55), -45s (224-269)
14) FA7CE69B3DB73E3094BDCA69A4E863, 153p, 128j (44-21-63), -48s (246-294)

F9071833-850A-34B0-B785-E1531601397F
1) F3FF850035773A6CA64878B714FC8E, 190p, 118j (58-16-44), 41s (264-223)
2) BF10252FF9403B389BA18EA35EE1D4, 181p, 120j (54-19-47), -3s (238-241)
3) 96228BF5CB4B3644926DAD5EF1BED5, 167p, 107j (51-14-42), 21s (236-215)
4) 98A6AF0F16F93ACEA3E75B1B35FD5A, 153p, 107j (46-15-46), 5s (209-204)
5) D441F31DA06C34E98B1C3B2D46750E, 152p, 97j (45-17-35), 10s (210-200)
6) 86B28CC59CFF30D791FEF0AED537E8, 152p, 107j (44-20-43), 8s (242-234)
7) F2DFFFDC1F403A969B7AC8F396AC01, 152p, 107j (44-20-43), 5s (211-206)
8) 0B69EC501BE831149E3C40304F7C78, 146p, 110j (41-23-46), -13s (214-227)
9) 9E1711A47CEB3AE3BABFD2591C61A4, 139p, 95j (41-16-38), 8s (195-187)
10) C8AC188B67073BC394E4DE26ACBCD8, 135p, 101j (39-18-44), -13s (185-198)
11) 4A776BD858E3348D8A14BAE7726680, 134p, 98j (40-14-44), -16s (200-216)
12) CE1ABDCF6DAB3DE29E15FE2F706777, 134p, 95j (39-17-39), 14s (190-176)
13) 03F85619B2D23F249AB97039E78C3D, 118p, 85j (32-22-31), 2s (149-147)
14) 657CB4DC643D3989BDA89560F0A6E7, 117p, 95j (35-12-48), -24s (179-203)
15) 400850F79C32354B994230F97E9893, 116p, 87j (33-17-37), 7s (208-201)
16) 9FD198346A41358493CE9E9E4D89AF, 106p, 91j (30-16-45), -52s (157-209)

3812DF47-54EE-3885-BDCB-35E9B424FB43
1) 1944DCA7EE683B1F8E8ABAB0221F2C, 38p, 26j (11-5-10), 1s (57-56)
2) 6FF9D91D8B55398F89F2CAED55825B, 37p, 23j (11-4-8), -1s (46-47)
3) 3A5E8893E2833CF2BF7EDE0E8459D2, 26p, 19j (8-2-9), 3s (43-40)
4) 82C64E5E994D3A168C115B022ED9CE, 26p, 17j (8-2-7), 3s (35-32)
5) 1C5B6700AB7331AE9187A6A45ACCC9, 21p, 19j (6-3-10), -6s (27-33)

680CD01D-5CA0-33AA-8E4D-EAE156E5316F
1) E5EDBFED339432C5941EFDE5E32FAF, 69p, 39j (20-9-10), 32s (103-71)
2) 109FEA52A1563550A9257EC20742C3, 68p, 46j (20-8-18), 11s (104-93)
3) 1E7342547ED731F0BA50A1430248AA, 67p, 47j (20-7-20), -5s (89-94)
4) 3C52F8BAFA9335548E8C0904BEC370, 66p, 38j (20-6-12), 13s (90-77)
5) 9DFC795B52FB308C97BD1D22FEBA6B, 61p, 36j (18-7-11), 15s (77-62)
6) CF8F0447053E3404AFE0A269A20BC5, 61p, 40j (18-7-15), -2s (87-89)
7) E0C419F28F973F2196FA73930289A4, 60p, 43j (16-12-15), -4s (83-87)
8) 73B71A5C31053286AEEE8718875499, 57p, 41j (16-9-16), 0s (77-77)
9) CD2381150044339DA42D86CE8D06FE, 57p, 45j (15-12-18), -4s (97-101)
10) F7F6613EC2B53233BCA82D3AA7C12C, 55p, 37j (17-4-16), 0s (73-73)
11) ED67D79151EA3549B18DA8D672B45E, 55p, 41j (16-7-18), 0s (87-87)
12) 2D35CDAEE96A3AAB893BCA385B62ED, 55p, 39j (15-10-14), 0s (73-73)
13) 3DAC5EE6C5A23F0D9A25FFDDC1DA17, 55p, 39j (15-10-14), -2s (66-68)
14) 440840AC595832E7B39A20B466AB7C, 49p, 36j (14-7-15), 0s (62-62)
15) 07F8499C20013A16AE3E36EB1A9A79, 47p, 35j (13-8-14), -6s (67-73)
16) 8D02697E46AE3EC1AA0E245B31BC20, 47p, 36j (12-11-13), 2s (66-64)
17) 02A24A639B3439CFB2A02E9546CEE7, 46p, 43j (11-13-19), -27s (68-95)
18) 1528FA0A4E7A32A5A7C32FF568FB9C, 45p, 28j (13-6-9), 13s (58-45)
19) F7C5947F6E6931DCB74A4BC8374742, 45p, 36j (12-9-15), 6s (78-72)
20) 702B16D8972B3F0C8C88895191F8E1, 40p, 34j (10-10-14), -8s (70-78)
21) 005E64BAFCCC39B88AE9A0F084D534, 39p, 35j (10-9-16), -15s (75-90)
22) 116B7746405D394E8B38B718D14FED, 37p, 29j (9-10-10), 3s (45-42)
23) 922F5B1752C5389391F1779DFE0F37, 36p, 31j (10-6-15), -16s (47-63)
24) 063441B867F2344F9F64F1DFAA8A69, 36p, 27j (9-9-9), -1s (59-60)
25) 90294889118431D3B98362915A9C6B, 28p, 23j (8-4-11), -5s (43-48)

63086062-CD7A-3607-95D9-424FA6E8CB85
1) 2BCE287279703728A66F39EA6ECE36, 126p, 75j (38-12-25), 33s (168-135)
2) B60F42F312843E52B48DA2B8929376, 102p, 68j (29-15-24), 7s (143-136)
3) 7623172A08C134B7B68260160182D4, 101p, 69j (30-11-28), 1s (123-122)
4) DD3B01A7801936ED984F2BC511C880, 99p, 63j (29-12-22), 20s (133-113)
5) F0895EE7AA563C8094BCAB9011E92A, 94p, 69j (26-16-27), -9s (125-134)
6) A677DB187A9236ACAE30EB6E1D5A01, 92p, 56j (27-11-18), 35s (127-92)
7) 55C8E72626D4351BB0D57666B48C04, 92p, 71j (25-17-29), -22s (121-143)
8) BF22ECC149D73EC08DEBD26FC93071, 92p, 68j (23-23-22), 6s (131-125)
9) 94AB8DA73F1236F48771B0ED732AA1, 90p, 69j (25-15-29), -6s (115-121)
10) 7F0F9A043C333009AAF592DB992C06, 89p, 63j (24-17-22), 9s (128-119)
11) ABE596ACD6F43907B5835F394E6741, 88p, 61j (25-13-23), -20s (105-125)
12) 1C9C45B8AE3535DEA2636514249A5C, 86p, 57j (25-11-21), 8s (121-113)
13) 3CB86B7B0B78317096ECEDBE5358EC, 86p, 63j (24-14-25), 1s (133-132)
14) 3517B05C53393A10847F8C8735EC0D, 85p, 55j (25-10-20), 18s (116-98)
15) 7BC98D3F148E34EC8B92E916464A1A, 84p, 64j (25-9-30), -3s (125-128)
16) 48DC3905B8DD334B86C9DC52645EA9, 84p, 64j (24-12-28), -7s (135-142)
17) DA9405588E1C3B609D6810DC9C8947, 83p, 62j (24-11-27), -3s (113-116)
18) 086DB4BFB4C33701BBAD5BF068FB19, 82p, 66j (24-10-32), -12s (122-134)
19) EB210637141C327DBA8BFEABF3811E, 81p, 58j (22-15-21), 4s (116-112)
20) E67318D8A8AB39E5B635D468D072C0, 80p, 53j (24-8-21), 12s (125-113)
21) 3453001E500A362885EB41EC6980EE, 80p, 64j (22-14-28), -18s (100-118)
22) 5DE618A6B977341594993D3CA02127, 76p, 52j (21-13-18), -1s (100-101)
23) DC95055DBE34387C95A5B5C7DF0ACB, 67p, 56j (18-13-25), -16s (112-128)
24) 11161BBD7B673DA991E3020E1B3228, 66p, 54j (19-9-26), -18s (99-117)
25) 99D8A215EFD03911B0B5CBF1D0D736, 60p, 50j (17-9-24), -19s (92-111)

2FE05E7D-28F7-3085-9951-06C14B9D0C9F
1) CD641171A81C3961A257CAED89287B, 57p, 31j (17-6-8), 15s (68-53)
2) CB06EB94464E3B4D99E9C8B3DFB053, 53p, 31j (16-5-10), 10s (67-57)
3) 98F66533356A3994B150A311F82D32, 40p, 25j (11-7-7), 11s (59-48)
4) 2EB4F9358F683581B70DD850E4F54A, 39p, 21j (12-3-6), 18s (52-34)
5) 37EFB28229C23A01A13F92557D34E3, 38p, 25j (11-5-9), 2s (52-50)
6) 9F9989B2A4BF343988CCEFD79404F1, 37p, 18j (11-4-3), 12s (38-26)
