Torneio 30 x 1000
1) lgfqliokftkbgdqrehswegwvifabea, 2475p, 1670j (804-63-803), 103s (15922-15819)
29) nfgpyykwriyppxrmeessyooxunvzvt, 0p, 0j (0-0-0), 0s (0-0)
30) vnkwnyolyouxjsxwvxxxxleourqkmk, 0p, 0j (0-0-0), 0s (0-0)

Outro Torneio 30 x 1000
1) mcojbbxmpeiefyudnwecrfamhnwsem, 2474p, 1731j (732-278-721), -7s (4469-4476)
2) mhcrhybkZtqewpxcctfbiquhxqbbyg, 124p, 74j (38-10-26), 42s (215-173)
3) uaxsrusnswcoljihryhckrvffvahvw, 104p, 68j (30-14-24), 31s (199-168)
4) cniwllklwfpalhyjjbnasjqifxhxrt, 73p, 64j (19-16-29), -25s (159-184)
5) thljfnijllxeomsoniptaumycxwtpa, 62p, 63j (18-8-37), -41s (154-195)
6) heanprjvqonnZydqpktabcjfinkkht, 0p, 0j (0-0-0), 0s (0-0)
7) rlfbdjtndeyljcgwjwtkmpjyklcayv, 0p, 0j (0-0-0), 0s (0-0)
8) nvhxprjpuaaykbgcbZlpkwyoraldid, 0p, 0j (0-0-0), 0s (0-0)
9) fgyumnbpnunwdargltcrkmqummgchm, 0p, 0j (0-0-0), 0s (0-0)
10) nqlefdodbjywwhjgvykmfgiatmhrsv, 0p, 0j (0-0-0), 0s (0-0)
11) ukajspjnwtmevfcbynawefvcigxprj, 0p, 0j (0-0-0), 0s (0-0)
12) womaygllcZcshmjvqtmogpqaoibatx, 0p, 0j (0-0-0), 0s (0-0)
13) vupofrnsyklxkeggcdrphoylbqugdd, 0p, 0j (0-0-0), 0s (0-0)
14) mnkmlfmxhpnvncxleyfoneryqhhseb, 0p, 0j (0-0-0), 0s (0-0)
15) momyrauenncmrmZpoivjkhifjxctfq, 0p, 0j (0-0-0), 0s (0-0)
16) udxulffrudbrvwkwndttbdyxefljml, 0p, 0j (0-0-0), 0s (0-0)
17) asiolveoltexblvjgvnslpnsdmuufs, 0p, 0j (0-0-0), 0s (0-0)
18) nmaypqhfnZtqxyrifhbgochxhvnZqa, 0p, 0j (0-0-0), 0s (0-0)
19) donvmvxbvxbfhkklrutsenlksncxbu, 0p, 0j (0-0-0), 0s (0-0)
20) imnfdmewxvjepqbrnuxokmuvfkrqbt, 0p, 0j (0-0-0), 0s (0-0)
21) derpkehkqubZywalofpqvrlqtwedrr, 0p, 0j (0-0-0), 0s (0-0)
22) qpkdvpfhvlxesvhyhgkthisjcjjutZ, 0p, 0j (0-0-0), 0s (0-0)
23) estcZfnsuoyonxZcqiomdvpewjrfaf, 0p, 0j (0-0-0), 0s (0-0)
24) liofsprvxgycwdtdqZuowlfseqahlt, 0p, 0j (0-0-0), 0s (0-0)
25) itmorqbuuwoodgaxqobttiyZwdkjct, 0p, 0j (0-0-0), 0s (0-0)
26) ykvecykydtcpkscZldkjsmkpvvqmkZ, 0p, 0j (0-0-0), 0s (0-0)
27) mZbxthjduxktrgfparxesrqcxZudkr, 0p, 0j (0-0-0), 0s (0-0)
28) ormdsjjvioZyoZvushpocpagguycts, 0p, 0j (0-0-0), 0s (0-0)
29) nwiorZtyxipZnjwjqivqboqpvvajrj, 0p, 0j (0-0-0), 0s (0-0)
30) mnjvaZlyZtdymuvwytnwprexewvwvt, 0p, 0j (0-0-0), 0s (0-0)

No meio do caminho tinha uma zebra, tinha uma Zebra no meio do caminho
1) time A, 8p, 8j (0-8-0), 0s (0-0)
2) time E, 2p, 2j (0-2-0), 0s (0-0)
3) Time C, 0p, 0j (0-0-0), 0s (0-0)
4) Zebra D, 0p, 0j (0-0-0), 0s (0-0)
5) Abracadabra B, 0p, 0j (0-0-0), 0s (0-0)
